zip_code,num_households,med_income_12m
00601,5397,15292
00602,12858,18716
00603,19295,16789
00606,1968,18835
00610,8934,21239
00611,514,17143
00612,23319,19934
00616,3342,19130
00617,7820,19048
00622,2789,17728
00623,13933,18690
00624,7194,18136
00627,11367,19745
00631,396,15234
00636,296,-
00637,7005,19042
00638,6032,18968
00641,8724,16233
00646,11863,29568
00647,1927,14430
00650,5157,20362
00652,1250,23813
00653,3591,11788
00656,6513,19054
00659,13214,20694
00660,6220,20770
00662,13974,17375
00664,5120,16389
00667,7849,15426
00669,9745,17589
00670,2639,15516
00674,14437,19103
00676,13032,17423
00677,5763,24325
00678,8985,18269
00680,17636,15340
00682,11916,15678
00683,10721,16764
00685,14152,16785
00687,9654,21598
00688,4066,16181
00690,2187,18142
00692,11537,22144
00693,20194,21647
00694,28,-
00698,11647,16403
00703,9057,22023
00704,2543,18917
00705,8683,21282
00707,3845,21365
00714,6147,14933
00715,801,13787
00716,11125,19164
00717,6398,12228
00718,8105,18333
00719,8456,19197
00720,6495,15485
00723,5882,18107
00725,29994,24262
00727,19267,31204
00728,13021,20542
00729,16529,24289
00730,12806,16734
00731,3933,15097
00735,4129,20864
00736,17400,24099
00738,11564,22162
00739,11792,23021
00740,643,10984
00741,1394,24143
00745,15803,23882
00751,7538,18458
00754,13248,19320
00757,7203,20786
00765,2374,14942
00766,7873,20774
00767,12011,17390
00769,12975,18994
00771,11857,23873
00772,6580,16425
00773,6803,22216
00775,489,25104
00777,13352,22317
00778,14448,35690
00780,4443,23684
00782,5130,14978
00783,10531,19192
00784,13947,17821
00786,81,-
00791,16356,22316
00794,8731,19997
00795,14486,21252
00901,3133,27426
00906,91,-
00907,8334,38807
00909,2239,19512
00911,3656,34413
00912,2691,28011
00913,3040,5746
00915,10602,12921
00917,8100,16277
00918,7633,31993
00920,6911,26217
00921,13552,20147
00923,10278,16950
00924,19048,19876
00925,2964,12880
00926,35788,35680
00927,5936,36638
00934,27,-
00949,25663,29319
00950,0,-
00951,149,20662
00952,2842,17018
00953,21990,28459
00956,23846,25506
00957,14799,26384
00959,17329,30418
00960,0,-
00961,11292,34346
00962,7567,17315
00965,1888,15407
00966,5976,50154
00968,1775,47372
00969,14577,50730
00971,9104,26849
00976,22179,33822
00979,8548,33503
00982,5804,25569
00983,12664,28472
00985,12105,29693
00987,20202,33719
01001,6791,72444
01002,9985,65013
01003,15,-
01005,1761,103477
01007,5917,101076
01008,506,79573
01009,333,64809
01010,1503,84830
01011,498,75640
01012,227,68894
01013,9375,52721
01020,13400,61963
01022,1082,50134
01026,454,76100
01027,8451,64330
01028,6017,95284
01029,228,88750
01030,4994,86136
01031,608,49071
01032,198,83750
01033,2530,106821
01034,830,91176
01035,2254,101458
01036,2016,99400
01037,257,85250
01038,1111,90893
01039,709,99896
01040,15062,45045
01050,1072,70800
01053,712,56094
01054,708,97188
01056,8567,72563
01057,3485,72567
01060,7060,70467
01062,4162,78526
01063,5,-
01066,34,-
01068,625,85078
01069,3732,64300
01070,258,71000
01071,518,94286
01072,609,79226
01073,2318,110200
01074,157,81681
01075,7328,82278
01077,3648,100337
01079,237,65184
01080,895,80087
01081,708,85938
01082,4689,60281
01083,934,81078
01084,44,78750
01085,15608,74341
01088,345,60260
01089,12734,60023
01092,532,62500
01093,70,96500
01094,31,-
01095,5417,124327
01096,1058,89643
01097,26,70909
01098,510,86364
01103,1434,20978
01104,9208,41402
01105,5206,23331
01106,6015,129339
01107,4234,31698
01108,10213,41153
01109,9506,37887
01118,5785,70295
01119,5230,50729
01128,1136,79015
01129,2523,75944
01144,0,-
01151,3664,47234
01201,19952,60060
01220,3948,49691
01222,289,61840
01223,1223,64750
01224,80,-
01225,1509,69069
01226,2907,72664
01229,88,-
01230,3793,71281
01235,1104,66516
01236,704,77588
01237,1019,78413
01238,2292,69840
01240,2158,72200
01242,93,-
01243,80,74688
01244,68,53462
01245,355,101488
01247,6527,51959
01253,434,93625
01254,440,97500
01255,309,76750
01256,330,51250
01257,1013,64531
01258,77,92917
01259,292,110417
01260,81,123367
01262,688,51875
01264,100,73333
01266,421,85406
01267,2541,95360
01270,372,99063
01301,8190,52569
01330,704,74355
01331,5450,61990
01337,1007,75938
01338,63,57344
01339,627,65139
01340,797,64097
01341,730,86875
01342,343,99732
01343,60,74545
01344,681,66319
01346,180,99082
01347,96,67500
01349,327,63717
01350,52,-
01351,1046,100078
01354,602,72500
01355,413,72064
01360,1213,83750
01364,3021,53039
01366,458,77500
01367,178,67500
01368,551,89417
01370,1694,69643
01373,2355,83826
01375,1666,58750
01376,2312,50921
01378,319,75179
01379,381,60372
01380,14,72500
01420,16383,60390
01430,2141,103762
01431,1297,95536
01432,3560,97097
01434,315,140391
01436,1262,75833
01438,124,77381
01440,8904,53400
01450,3820,169643
01451,1668,174444
01452,1586,105938
01453,17896,69525
01460,3504,140511
01462,4447,101540
01463,4370,111827
01464,2345,111875
01468,1622,98925
01469,2831,103984
01473,3122,107738
01474,680,108068
01475,3726,85000
01501,6534,94267
01503,1311,106908
01504,3874,89129
01505,1834,127833
01506,1395,75329
01507,4776,106558
01510,6455,84938
01515,835,70660
01516,3179,133854
01518,1280,78673
01519,2652,128824
01520,6021,128245
01521,1106,82500
01522,1159,109867
01523,2801,109651
01524,2180,80702
01525,31,-
01527,5165,96672
01529,1275,82131
01531,430,86667
01532,5662,148010
01534,2367,115439
01535,1883,77313
01536,2914,89886
01537,781,61514
01540,3988,110195
01541,1298,148438
01542,992,88295
01543,3052,132000
01545,13808,117909
01550,7094,50414
01560,1902,89779
01561,17,-
01562,5186,68559
01564,3248,119000
01566,2610,105417
01568,2651,141250
01569,5327,115304
01570,7414,64305
01571,4199,75465
01581,7980,118185
01583,2784,94464
01585,1968,71667
01588,4005,81438
01590,3332,123542
01602,10527,76287
01603,7496,53166
01604,16869,63107
01605,11626,45709
01606,9198,74765
01607,3916,57880
01608,1945,37962
01609,8439,49333
01610,8866,35642
01611,783,103405
01612,1588,123958
01701,13189,120811
01702,14810,71602
01718,228,173000
01719,2180,136875
01720,8678,138220
01721,7587,115959
01730,5540,140647
01731,478,105909
01740,1853,167132
01741,1800,216000
01742,6357,168934
01745,215,148207
01746,5354,142339
01747,2116,113300
01748,6556,179192
01749,8035,94191
01752,17147,86230
01754,4269,112432
01756,2076,133850
01757,11487,89273
01760,15153,123109
01770,1515,218906
01772,3364,173056
01773,2123,172891
01775,2646,147841
01776,6208,217847
01778,4838,203125
01801,16292,95184
01803,10093,124755
01810,13235,155252
01821,11664,126146
01824,9915,130215
01826,12350,94882
01827,1136,177803
01830,10759,66052
01832,9915,70910
01833,3185,130240
01834,2532,121711
01835,5434,92880
01840,3068,28347
01841,17019,47527
01843,10204,61362
01844,18792,87181
01845,10971,120954
01850,5864,59571
