motivation_choice,percentage,motivation
1,82.90757083139805,Search for a better job
2,30.65490013934046,Unemployment
3,3.9479795633999073,Deterioration of livelihoods due to natural hazards
4,1.8114259173246632,By the direct impact of a natural hazard
5,0.41802136553646074,Due to loss of land (use change)
6,17.18532280538783,Lack of money for food
7,24.431026474686483,Lack of money for other basic needs
8,17.88202508128193,To send remittances
9,2.8797027403622852,For study
10,0.23223409196470043,Domestic violence
11,4.598235020901068,Unsafety
12,6.177426846261032,Family reunification
13,1.3934045517882026,For cultural reasons or custom
14,1.2540640966093821,For healthcare
15,7.292150487691592,Adventure Tourism
16,3.1119368323269856,Other
99,0.046446818392940084,Not sure
